Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_link,0.080296,0.155,0.21875,0,0,0,4.9779,0.029645,-9.2377E-06,-1.1656E-08,0.027618,-4.9899E-05,0.029622,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,6.9389E-18,0.10821,-1.3834E-07,0,0,0,2.2449,0.014264,2.3062E-18,-4.8688E-07,0.0048827,-3.2054E-08,0.011413,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_1.STL,,eslabon1-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0.080329,-0.21885,0.24416,1.5708,0,0.085579,Base_link,0,1,0,30,1,0,3.14,,,,,,,,
Link_2,8.3561E-05,0.064104,-9.1491E-06,0,0,0,2.0309,0.0095089,-6.2024E-08,2.1158E-08,0.0089388,9.505E-08,0.011063,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_2.STL,,eslabon2-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0,0.19199,0,0.0089945,0,0,Link_1,1,0,0,30,1,0,2.1,,,,,,,,
Link_3,1.6463E-09,0.10977,-1.4195E-07,0,0,0,2.2449,0.014264,-3.3726E-10,-4.8697E-07,0.0048827,-3.1579E-08,0.011413,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_3.STL,,eslabon1-2,Origin_joint_3,Axis_joint_3,joint_3,revolute,8.3666E-05,0.13929,0,0,0.021739,0,Link_2,0,1,0,30,1,0,3.14,,,,,,,,
Link_4,8.3564E-05,0.064104,-9.1303E-06,0,0,0,2.0309,0.0095089,-6.2294E-08,2.117E-08,0.0089388,9.6477E-08,0.011063,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_4.STL,,eslabon2-2,Origin_joint_4,Axis_joint_4,joint_4,revolute,0,0.19355,0,-0.015469,0,0,Link_3,1,0,0,30,1,0,2,,,,,,,,
Link_5,-1.3685E-09,0.10813,-1.3516E-07,0,0,0,2.2449,0.014264,2.7614E-10,-4.8695E-07,0.0048827,-3.2503E-08,0.011413,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_5.STL,,eslabon1-3,Origin_joint_5,Axis_joint_5,joint_5,revolute,8.3666E-05,0.14093,0,0,-0.029656,0,Link_4,0,1,0,30,1,0,3.14,,,,,,,,
Link_6,8.384E-05,0.082855,-4.5611E-06,0,0,0,2.4359,0.010186,-1.1553E-07,1.9654E-05,0.0095612,-5.5533E-07,0.011978,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://brazo5_nomesh/meshes/Link_6.STL,,eslabon2-3;gripper-1,Origin_joint_6,Axis_joint_6,joint_6,revolute,0,0.19191,0,3.1238,0,-3.1416,Link_5,1,0,0,30,1,0,2,,,,,,,,
